Va,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V
0.3,6.967414e-06,0.170821,1.386945e+16,8.919495e+15,0.048980,0.279347
0.3,7.467620e-06,0.171694,1.427882e+16,8.649208e+15,0.048976,0.279291
0.3,7.997838e-06,0.172485,1.466093e+16,8.408274e+15,0.048971,0.279231
0.3,8.559870e-06,0.173196,1.501300e+16,8.194595e+15,0.048966,0.279166
0.3,9.155623e-06,0.173827,1.533296e+16,8.006064e+15,0.048961,0.279095
0.3,9.787122e-06,0.174381,1.561949e+16,7.840573e+15,0.048956,0.279018
0.3,1.045651e-05,0.174859,1.587209e+16,7.696026e+15,0.048951,0.278935
0.3,1.116606e-05,0.175266,1.609101e+16,7.570342e+15,0.048945,0.278846
0.3,1.191819e-05,0.175607,1.627726e+16,7.461479e+15,0.048939,0.278750
0.3,1.271544e-05,0.175887,1.643245e+16,7.367436e+15,0.048932,0.278647
0.3,1.356053e-05,0.176111,1.655874e+16,7.286277e+15,0.048925,0.278537
0.3,1.445632e-05,0.176285,1.665863e+16,7.216146e+15,0.048918,0.278420
0.3,1.540586e-05,0.176415,1.673488e+16,7.155282e+15,0.048910,0.278294
0.3,1.641237e-05,0.176507,1.679036e+16,7.102036e+15,0.048902,0.278160
0.3,1.747928e-05,0.176565,1.682791e+16,7.054889e+15,0.048893,0.278018
0.3,1.861020e-05,0.176596,1.685023e+16,7.012458e+15,0.048884,0.277867
0.3,1.980897e-05,0.176603,1.685983e+16,6.973510e+15,0.048874,0.277706
0.3,2.107967e-05,0.176591,1.685892e+16,6.936962e+15,0.048863,0.277535
0.3,2.242661e-05,0.176562,1.684946e+16,6.901878e+15,0.048852,0.277354
0.3,2.385437e-05,0.176521,1.683304e+16,6.867469e+15,0.048839,0.277161
0.3,2.536779e-05,0.176468,1.681098e+16,6.833073e+15,0.048826,0.276957
0.3,2.697202e-05,0.176405,1.678430e+16,6.798152e+15,0.048812,0.276740
0.3,2.867250e-05,0.176335,1.675379e+16,6.762268e+15,0.048796,0.276510
0.3,3.047501e-05,0.176258,1.671998e+16,6.725070e+15,0.048780,0.276266
0.3,3.238567e-05,0.176174,1.668328e+16,6.686274e+15,0.048762,0.276008
0.3,3.441098e-05,0.176083,1.664390e+16,6.645654e+15,0.048743,0.275733
0.3,3.655780e-05,0.175986,1.660198e+16,6.603020e+15,0.048722,0.275443
0.3,3.883343e-05,0.175883,1.655757e+16,6.558213e+15,0.048700,0.275134
