VG,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V,is_oxide
0.3,5.202124e-05,-0.357153,1.000210e+04,9.997903e+15,0.000000,0.000000,0
0.3,5.618703e-05,-0.357157,1.000078e+04,9.999219e+15,0.000000,0.000000,0
0.3,6.068608e-05,-0.357158,1.000027e+04,9.999730e+15,0.000000,0.000000,0
0.3,6.554506e-05,-0.357158,1.000009e+04,9.999913e+15,0.000000,0.000000,0
0.3,7.079275e-05,-0.357159,1.000003e+04,9.999974e+15,0.000000,0.000000,0
0.3,7.646026e-05,-0.357159,1.000001e+04,9.999993e+15,0.000000,0.000000,0
0.3,8.258117e-05,-0.357159,1.000000e+04,9.999998e+15,0.000000,0.000000,0
0.3,8.919175e-05,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.3,9.633118e-05,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.3,1.040418e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.3,1.123692e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.3,1.213628e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.3,1.310759e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.3,1.415661e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.3,1.528955e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.3,1.651312e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.3,1.783458e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.3,1.926175e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.3,2.000000e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.6,-9.285714e-08,0.242841,0.000000e+00,0.000000e+00,nan,nan,1
0.6,-8.571429e-08,0.242275,0.000000e+00,0.000000e+00,nan,nan,1
0.6,-7.857143e-08,0.241709,0.000000e+00,0.000000e+00,nan,nan,1
0.6,-7.142857e-08,0.241142,0.000000e+00,0.000000e+00,nan,nan,1
0.6,-6.428571e-08,0.240576,0.000000e+00,0.000000e+00,nan,nan,1
0.6,-5.714286e-08,0.240009,0.000000e+00,0.000000e+00,nan,nan,1
0.6,-5.000000e-08,0.239443,0.000000e+00,0.000000e+00,nan,nan,1
0.6,-4.285714e-08,0.238877,0.000000e+00,0.000000e+00,nan,nan,1
0.6,-3.571429e-08,0.238310,0.000000e+00,0.000000e+00,nan,nan,1
0.6,-2.857143e-08,0.237744,0.000000e+00,0.000000e+00,nan,nan,1
