VG,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V,is_oxide
-0.4,-3.558960e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-3.467539e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-3.376119e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-3.284698e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-3.193277e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-3.101857e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-3.010436e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-2.919015e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-2.827595e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-2.736174e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-2.644754e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-2.553333e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-2.461912e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-2.370492e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-2.279071e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-2.187650e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-2.096230e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-2.004809e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.913389e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.821968e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.730547e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.639127e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.547706e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.456285e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.364865e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.273444e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.182024e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.095190e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.014789e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-9.403430e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-8.714118e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-8.075866e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-7.484892e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-6.937693e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-6.431028e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-5.961894e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-5.527510e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-5.125303e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-4.752889e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-4.408061e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-4.088776e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-3.793142e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-3.519407e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-3.265948e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-3.031264e-06,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-2.813964e-06,0.117819,4.999999e+18,2.000000e+01,-0.400000,-0.400000,0
