Va,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V
0.65,8.409871e-05,0.369762,1.024396e+16,2.439211e+14,0.001534,0.641366
0.65,8.920928e-05,0.369747,1.023912e+16,2.390849e+14,0.001531,0.640833
0.65,9.462648e-05,0.369731,1.023410e+16,2.340614e+14,0.001528,0.640268
0.65,1.003687e-04,0.369714,1.022888e+16,2.288498e+14,0.001524,0.639669
0.65,1.064555e-04,0.369696,1.022348e+16,2.234501e+14,0.001520,0.639034
0.65,1.129075e-04,0.369678,1.021790e+16,2.178632e+14,0.001515,0.638361
0.65,1.197465e-04,0.369658,1.021212e+16,2.120911e+14,0.001511,0.637647
0.65,1.269960e-04,0.369638,1.020617e+16,2.061370e+14,0.001505,0.636890
0.65,1.346804e-04,0.369616,1.020004e+16,2.000054e+14,0.001499,0.636088
0.65,1.428258e-04,0.369594,1.019373e+16,1.937021e+14,0.001493,0.635238
0.65,1.514600e-04,0.369571,1.018726e+16,1.872343e+14,0.001486,0.634337
0.65,1.606123e-04,0.369546,1.018064e+16,1.806108e+14,0.001479,0.633381
0.65,1.703137e-04,0.369521,1.017387e+16,1.738423e+14,0.001470,0.632369
0.65,1.805971e-04,0.369494,1.016697e+16,1.669408e+14,0.001461,0.631295
0.65,1.914976e-04,0.369467,1.015995e+16,1.599206e+14,0.001452,0.630156
0.65,2.030521e-04,0.369438,1.015282e+16,1.527974e+14,0.001441,0.628950
0.65,2.152999e-04,0.369408,1.014561e+16,1.455890e+14,0.001429,0.627670
0.65,2.282825e-04,0.369376,1.013834e+16,1.383150e+14,0.001416,0.626314
0.65,2.420441e-04,0.369344,1.013102e+16,1.309969e+14,0.001402,0.624876
0.65,2.566314e-04,0.369310,1.012368e+16,1.236578e+14,0.001387,0.623352
0.65,2.720939e-04,0.369275,1.011634e+16,1.163225e+14,0.001371,0.621735
0.65,2.884842e-04,0.369238,1.010903e+16,1.090173e+14,0.001353,0.620022
0.65,3.058579e-04,0.369200,1.010179e+16,1.017696e+14,0.001333,0.618206
